"productName","productFinalPrice","discounts","productRealPrice","vendor","location","rate"
"Roti Tawar Choco Chip","Rp 12.750","-15%","Rp 15.000","Sari Roti","Jakarta Selatan","0"
"Roti Tawar","Rp 10.200","-15%","Rp 12.000","Sari Roti","Jakarta Selatan","5"
"Roti Tawar Kupas","Rp 12.325","-15%","Rp 14.500","Sari Roti","Jakarta Selatan","0"
"Roti Tawar Double Soft","Rp 15.300","-15%","Rp 18.000","Sari Roti","Jakarta Selatan","0"
"Roti Tawar Gandum","Rp 15.300","-15%","Rp 18.000","Sari Roti","Jakarta Selatan","0"
"Burger Bun","Rp 10.000","0%","Rp 10.000","Sari Roti","Jakarta Selatan","0"
"HEAT N EAT Ayam Rica Merah 200gr","Rp 35.260","0%","Rp 35.260","Glomart","Jakarta Timur","5"
"FRONTE Sosis Beef Breakfast Beef Sosis Hotel 1kg","Rp 73.799","0%","Rp 73.799","Glomart","Jakarta Timur","4.96"
"FRONTE Sosis Beef Cheesy 360gr","Rp 54.119","0%","Rp 54.119","Glomart","Jakarta Timur","4.87"
"HEAT N EAT Daging Rendang 200gr","Rp 73.492","0%","Rp 73.492","Glomart","Jakarta Timur","4.5"
"MYDIBEL Kentang Premium Crunch 2.5Kg","Rp 83.258","0%","Rp 83.258","Glomart","Jakarta Timur","4.97"
"FRONTE Smoked Beef 500gr","Rp 67.855","0%","Rp 67.855","Glomart","Jakarta Timur","5"
"HEAT N EAT Ayam Bakar Bumbu Bali 200gr","Rp 35.260","0%","Rp 35.260","Glomart","Jakarta Timur","5"
"HEAT N EAT Ayam Woku 200gr","Rp 35.260","0%","Rp 35.260","Glomart","Jakarta Timur","5"
"FRONTE Sosis Beef Frankfurter 500gr","Rp 42.639","0%","Rp 42.639","Glomart","Jakarta Timur","4.87"
"FRONTE Sosis Beef Bockwurst 360gr","Rp 52.889","0%","Rp 52.889","Glomart","Jakarta Timur","4.95"
"Indomie Goreng","Rp 2.450","0%","Rp 2.450","Mekar Jaya","Sleman","0"
"FRONTE Sosis Beef Blackpepper 360gr","Rp 53.607","0%","Rp 53.607","Glomart","Jakarta Timur","4.96"
"Indomie Kuah Rasa Ayam Bawang","Rp 2.347","0%","Rp 2.347","Mekar Jaya","Sleman","0"
"MIE SHIRATAKI","Rp 46.000","0%","Rp 46.000","Tuku Tuku Natural","Tangerang Selatan","0"
"POPMIE Jumbo Rasa Baso Dus Isi 24 Cup","Rp 89.691","0%","Rp 89.691","Grosir Karawaci","Tangerang","0"
"POPMIE Jumbo Rasa Soto Ayam Dus 24 Cup","Rp 89.691","0%","Rp 89.691","Grosir Karawaci","Tangerang","0"
"SARIMI Isi 2 Kuah Gulai 115g 24 Pcs","Rp 65.980","0%","Rp 65.980","Grosir Karawaci","Tangerang","0"
"GD-Tofu Udang Kong Kee","Rp 7.500","0%","Rp 7.500","Gudang Dapur","Padang","5"
"KATUJU Rendang Lokan 250gr / Pouch","Rp 70.000","0%","Rp 70.000","KATUJU INDONESIA","Padang","0"
"INDOMIE Soto Dus 40 Pcs","Rp 86.597","0%","Rp 86.597","Grosir Karawaci","Tangerang","0"
"INDOMIE Goreng Special Dus 40 Pcs","Rp 91.752","0%","Rp 91.752","Grosir Karawaci","Tangerang","0"
"INDOMIE Goreng Aceh Dus 40 Pcs","Rp 91.752","0%","Rp 91.752","Grosir Karawaci","Tangerang","0"
"INDOMIE Ayam Geprek Dus 40 Pcs","Rp 91.752","0%","Rp 91.752","Grosir Karawaci","Tangerang","0"
"SARIMI Isi 2 Kuah Kari Ayam Dus 24 Pcs","Rp 65.980","0%","Rp 65.980","Grosir Karawaci","Tangerang","5"
"SARIMI Isi 2 Goreng Ayam Kecap 126g 24 Pcs","Rp 71.134","0%","Rp 71.134","Grosir Karawaci","Tangerang","0"
"UDANG GALAK Kerupuk Udang 250 gr","Rp 12.000","0%","Rp 12.000","Toko Arsya","Cirebon","0"
"POPMIE Jumbo Rasa Kari Dus 24 Cup","Rp 89.691","0%","Rp 89.691","Grosir Karawaci","Tangerang","0"
"SARIMI Isi 2 Kuah Tongseng 120g 24 Pcs","Rp 65.980","0%","Rp 65.980","Grosir Karawaci","Tangerang","5"
"SARIMI Isi 2 Goreng Teri Pedas 125g 24 Pcs","Rp 71.134","0%","Rp 71.134","Grosir Karawaci","Tangerang","0"
"SARIMI Isi 2 Kuah Mie Dok Dok 120g 24 Pcs","Rp 65.980","0%","Rp 65.980","Grosir Karawaci","Tangerang","0"
"MIE SEBLAK Instant","Rp 92.000","0%","Rp 92.000","PT Global Nara Sadhana","Mojokerto","0"
"UDANG GALAK Kerupuk Udang 250 gr","Rp 12.000","0%","Rp 12.000","Toko Alvian","Cirebon","0"
"INDOMIE Kari Ayam Dus 40 Pcs","Rp 92.783","0%","Rp 92.783","Grosir Karawaci","Tangerang","0"
"SARIMI Isi 2 Kuah Ayam Bawang 115g 24 Pcs","Rp 65.980","0%","Rp 65.980","Grosir Karawaci","Tangerang","5"
"SARIMI Isi 2 Kuah Soto Dus 113g 24 Pcs","Rp 65.980","0%","Rp 65.980","Grosir Karawaci","Tangerang","5"
"SARIMI Isi 2 Kuah Baso Sapi 115g 24 Pcs","Rp 65.980","0%","Rp 65.980","Grosir Karawaci","Tangerang","5"
"SARIMI Isi 2 Goreng Ayam Kremes 125g 24 Pcs","Rp 71.134","0%","Rp 71.134","Grosir Karawaci","Tangerang","0"
"INDOMIE Goreng Dus Isi 40 Pcs","Rp 90.000","0%","Rp 90.000","Troceries","Tangerang","0"
"INDOMIE Goreng Rendang Dus 40 Pcs","Rp 91.752","0%","Rp 91.752","Grosir Karawaci","Tangerang","0"
"INDOMIE Goreng Sambal Rica Rica Dus 40 Pcs","Rp 91.752","0%","Rp 91.752","Grosir Karawaci","Tangerang","0"
"INDOMIE Ayam Bawang Dus 40 Pcs","Rp 86.597","0%","Rp 86.597","Grosir Karawaci","Tangerang","5"
"INDOMIE Goreng Iga Penyet Dus 40 Pcs","Rp 91.752","0%","Rp 91.752","Grosir Karawaci","Tangerang","0"
"POPMIE Jumbo Rasa Ayam Dus 24 Cup","Rp 89.691","0%","Rp 89.691","Grosir Karawaci","Tangerang","0"
"INDOMIE Ayam Bawang Dus Isi 40 Pcs","Rp 87.500","0%","Rp 87.500","Troceries","Tangerang","0"
"Ramen Bakso Sapi","Rp 23.600","0%","Rp 23.600","RAMEN HIROSHIMA PADANG","Padang","5"
"Ramen Bakso Ikan Goreng","Rp 17.500","0%","Rp 17.500","RAMEN HIROSHIMA PADANG","Padang","5"
"Ice Cream Sundae Cokelat Strawberry","Rp 9.300","0%","Rp 9.300","RAMEN HIROSHIMA PADANG","Padang","5"
"Ramen Karaage","Rp 25.700","0%","Rp 25.700","RAMEN HIROSHIMA PADANG","Padang","0"
"Ramen Katsu","Rp 25.700","0%","Rp 25.700","RAMEN HIROSHIMA PADANG","Padang","5"
"Takoyaki Ayam","Rp 12.400","0%","Rp 12.400","RAMEN HIROSHIMA PADANG","Padang","5"
"Ramen Fish Role","Rp 23.600","0%","Rp 23.600","RAMEN HIROSHIMA PADANG","Padang","0"
"Nasi Beef Kari","Rp 23.600","0%","Rp 23.600","RAMEN HIROSHIMA PADANG","Padang","0"
"Nasi Katsu Kari","Rp 19.200","0%","Rp 19.200","RAMEN HIROSHIMA PADANG","Padang","5"
"Ramen Rolade Sapi","Rp 23.600","0%","Rp 23.600","RAMEN HIROSHIMA PADANG","Padang","5"
"Ramen Bakso Ikan","Rp 17.500","0%","Rp 17.500","RAMEN HIROSHIMA PADANG","Padang","0"
"Nasi Karaage","Rp 17.500","0%","Rp 17.500","RAMEN HIROSHIMA PADANG","Padang","0"
"Nasi Karaage Teriyaki","Rp 19.200","0%","Rp 19.200","RAMEN HIROSHIMA PADANG","Padang","0"
"Fishrole","Rp 3.100","0%","Rp 3.100","RAMEN HIROSHIMA PADANG","Padang","5"
"Nasi Katsu","Rp 17.500","0%","Rp 17.500","RAMEN HIROSHIMA PADANG","Padang","0"
"Nasi Chicken Teriyaki","Rp 19.200","0%","Rp 19.200","RAMEN HIROSHIMA PADANG","Padang","0"
"Takoyaki Gurita","Rp 12.400","0%","Rp 12.400","RAMEN HIROSHIMA PADANG","Padang","5"
"Ramen Bola Keju","Rp 23.600","0%","Rp 23.600","RAMEN HIROSHIMA PADANG","Padang","5"
"Nasi Karaage Asam Manis","Rp 19.200","0%","Rp 19.200","RAMEN HIROSHIMA PADANG","Padang","0"
"Ramen Chicken Teriyaki","Rp 23.600","0%","Rp 23.600","RAMEN HIROSHIMA PADANG","Padang","5"
"Ramen Otak Otak","Rp 17.500","0%","Rp 17.500","RAMEN HIROSHIMA PADANG","Padang","5"
"Ramen Smoked Beef","Rp 25.700","0%","Rp 25.700","RAMEN HIROSHIMA PADANG","Padang","5"
"Ramen Beef Patties","Rp 25.700","0%","Rp 25.700","RAMEN HIROSHIMA PADANG","Padang","0"
"Ramen Crab Stick","Rp 23.600","0%","Rp 23.600","RAMEN HIROSHIMA PADANG","Padang","5"
"Yakisoba Telur","Rp 12.400","0%","Rp 12.400","RAMEN HIROSHIMA PADANG","Padang","0"
"Ramen Bakso Ikan Salmon","Rp 23.600","0%","Rp 23.600","RAMEN HIROSHIMA PADANG","Padang","5"
"Okonomiyaki Gurita","Rp 15.400","0%","Rp 15.400","RAMEN HIROSHIMA PADANG","Padang","5"
"Nasi Chicken Kari","Rp 19.200","0%","Rp 19.200","RAMEN HIROSHIMA PADANG","Padang","0"
"Ramen Tofu Ikan","Rp 17.500","0%","Rp 17.500","RAMEN HIROSHIMA PADANG","Padang","5"
"Ramen Sosis Jumbo","Rp 25.700","0%","Rp 25.700","RAMEN HIROSHIMA PADANG","Padang","5"
"Ramen Tofu","Rp 17.500","0%","Rp 17.500","RAMEN HIROSHIMA PADANG","Padang","5"
"Yakisoba Otak Otak","Rp 13.400","0%","Rp 13.400","RAMEN HIROSHIMA PADANG","Padang","0"
"Nasi Karaagee Blackpaper","Rp 19.200","0%","Rp 19.200","RAMEN HIROSHIMA PADANG","Padang","0"
"Kaijo NRF Mangon IQ","Rp 45.000.000","0%","Rp 45.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Fly NRF Mangon","Rp 40.000.000","0%","Rp 40.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Lemon NRF Pakhoy","Rp 21.500.000","0%","Rp 21.500.000","NEKAD ROOSTER FARM","Tangerang","0"
"INDOMIE Goreng Hype Ayam Geprek 350ml","Rp 2.800","0%","Rp 2.800","MINANG MART","Padang","0"
"INDOMIE Kari Ayam 40pcs/Dus","Rp 92.000","0%","Rp 92.000","TOKO MILA","Palembang","0"
"AYAM 2 TELOR Mie Telor Lebar Keriting 200gr","Rp 73.700","0%","Rp 73.700","PT SEMAR KENCANA SEJATI","Sidoarjo","0"
"BIHUNKU Bihun Instant Ayam Bawang 55gr 1 Karton","Rp 72.000","0%","Rp 72.000","PT SEMAR KENCANA SEJATI","Sidoarjo","0"
"BIHUNKU Bihun Instant White Curry 55gr","Rp 83.000","0%","Rp 83.000","PT SEMAR KENCANA SEJATI","Sidoarjo","0"
"SO NICE Sosis Ayam 375 Gr","Rp 14.500","0%","Rp 14.500","Toko Nenny","Cirebon","0"
"Indomie Goreng Dus @40 Pcs x Dus","Rp 192.000","0%","Rp 192.000","Ofel Convenience Store","Bekasi","0"
"INDOMIE Goreng Dus isi 40 pcs","Rp 91.000","0%","Rp 91.000","CV Wijaya santoso","Surabaya","0"
"INDOMIE Kari Ayam 70g","Rp 94.900","0%","Rp 94.900","Big Mart","Tangerang","5"
"Potret NRF","Rp 27.000.000","0%","Rp 27.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Romlah NRF","Rp 30.000.000","0%","Rp 30.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Minutes NRF Burma","Rp 55.000.000","0%","Rp 55.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Sisik Sakti NRF ThaiKhoy","Rp 28.500.000","0%","Rp 28.500.000","NEKAD ROOSTER FARM","Tangerang","0"
"Keling NRF Mangon IQ","Rp 37.000.000","0%","Rp 37.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Ganteng NRF Mangon IQ","Rp 22.000.000","0%","Rp 22.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"PIONEER Bihun Jagung 280 gr","Rp 44.000","0%","Rp 44.000","CV Lautan Berkat","Bantul","0"
"MIE SEDAP Goreng pcs","Rp 2.250","0%","Rp 2.250","BIG MART PALEMBANG","Palembang","5"
"Stick Ayam Crispy","Rp 42.200","0%","Rp 42.200","MM Distributor","Semarang","0"
"INDOMIE Kari Ayam 40 Pcs/ctn","Rp 98.000","0%","Rp 98.000","Toko Dua Satu","Pekanbaru","0"
"Telur ayam ras isi 30","Rp 40.000","0%","Rp 40.000","TOSERBA UDA","Padang","5"
"WAFER VERITOP ISI 30","Rp 60.500","0%","Rp 60.500","CV Wijaya santoso","Surabaya","0"
"INDOMIE Ayam Bawang Dus 240 pcs x 2 Dus","Rp 180.592","0%","Rp 180.592","Ofel Convenience Store","Bekasi","0"
"Mommy NRF","Rp 45.000.000","0%","Rp 45.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Bulbi NRF ThaiNgon","Rp 29.000.000","0%","Rp 29.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Bences NRF Mangon Iq","Rp 37.500.000","0%","Rp 37.500.000","NEKAD ROOSTER FARM","Tangerang","0"
"Shogun NRF Mangon","Rp 37.500.000","0%","Rp 37.500.000","NEKAD ROOSTER FARM","Tangerang","0"
"Samurai JR NRF Mangon IQ","Rp 33.500.000","0%","Rp 33.500.000","NEKAD ROOSTER FARM","Tangerang","0"
"Chili NRF Pakhoy","Rp 45.000.000","0%","Rp 45.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"POP MIE Pedas Dower Rasa Ayam Pedas 20x20gr","Rp 5.500","0%","Rp 5.500","MINANG MART","Padang","0"
"INDOMIE Soto Mie 70GR","Rp 87.500","0%","Rp 87.500","Troceries","Tangerang","0"
"KATUJU Rendang Daging Sapi 250gr / Pouch","Rp 75.000","0%","Rp 75.000","KATUJU INDONESIA","Padang","0"
"INDOMIE Goreng Dus 40 Pcs","Rp 92.000","0%","Rp 92.000","TOKO MILA","Palembang","0"
"INDOMIE Kari Ayam 1 Dus isi 40pcs","Rp 97.000","0%","Rp 97.000","TOSERBA UDA","Padang","5"
"Telur Ayam per 30 butir","Rp 45.000","0%","Rp 45.000","Toko Dua Satu","Pekanbaru","0"
"INDOMIE Goreng Special 85gr 1Karton Isi 40pcs","Rp 90.000","0%","Rp 90.000","Anugerah Jaya Abadi","Banyumas","0"
"AYAM 2 TELOR Mie Telor Regular 200gr","Rp 73.700","0%","Rp 73.700","PT SEMAR KENCANA SEJATI","Sidoarjo","0"
"SO NICE Chicken Nugget 250 Gr","Rp 12.500","0%","Rp 12.500","Toko Nenny","Cirebon","5"
"SEDAAP Mie Goreng 40pcs 1 Karton","Rp 89.800","0%","Rp 89.800","BIG MART PALEMBANG","Palembang","5"
"Scandia Choco Chips Coklat 3kg (1 dus isi 4)","Rp 508.700","0%","Rp 508.700","Aladin Jaya","Bandar Lampung","0"
"INDOMIE Goreng Special Plus Isi 40 Pcs","Rp 92.886","0%","Rp 92.886","Double Win","Jakarta Utara","5"
"Lumut Hijau NRF","Rp 55.000.000","0%","Rp 55.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Trad NRF Trad x KhoyNgon","Rp 15.500.000","0%","Rp 15.500.000","NEKAD ROOSTER FARM","Tangerang","0"
"Kejora NRF ThaiKhoy","Rp 18.000.000","0%","Rp 18.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Rolas Jr Mangon","Rp 22.000.000","0%","Rp 22.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Speed NRF Mangon","Rp 29.000.000","0%","Rp 29.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"Glepok NRF Mangon","Rp 50.000.000","0%","Rp 50.000.000","NEKAD ROOSTER FARM","Tangerang","0"
"pempek","Rp 42.200","0%","Rp 42.200","MM Distributor","Semarang","0"
"ayam rempah","Rp 63.200","0%","Rp 63.200","MM Distributor","Semarang","0"
"BIHUNKU Bihun Instant Soto Spesial 55gr 1 Karton","Rp 72.000","0%","Rp 72.000","PT SEMAR KENCANA SEJATI","Sidoarjo","0"
"BIHUNKU Bihun Instant Goreng Spesial 60gr","Rp 83.000","0%","Rp 83.000","PT SEMAR KENCANA SEJATI","Sidoarjo","0"
