"productName","productBasePrice","productFinalPrice","stock","labelMeasurement","pictUrl"
"RON88 Air Mineral Botol 1500ml","Rp39.460","Rp37.300","Stock Ada","Per 1 kardus isi 12 pcs","https://s3.bukalapak.com/general-trade/img/82652/small/5c9b116c5654c80b3c04_44621740_10212688341145597_364807730490.jpg?1556815764"
"Amidis Air Mineral Gelas 240ml","Rp23.525","Rp23.410","Stock Ada","Per 1 kardus isi 48 pcs","https://s4.bukalapak.com/general-trade/img/96563/small/51dee21799bed2d55f73_data.png?1564629632"
"Aqua Air Mineral Gelas 220ml","Rp29.175","Rp29.160","Stock Ada","Per 1 kardus isi 48 pcs","https://s3.bukalapak.com/general-trade/img/30392/small/b6cfd9b26aee3d9986fe_data.png?1556816495"
"Ades Air Mineral Botol 600ml","Rp. 0","Rp51.550","Stock Ada","Per 1 kardus isi 24 pcs","https://s0.bukalapak.com/general-trade/img/05363/small/dd23c88be2af0a17ccbe_data.png?1564626658"
"Club Air Mineral Gelas 240ml","Rp. 0","Rp19.590","Stock Ada","Per 1 kardus isi 48 pcs","https://s3.bukalapak.com/general-trade/img/84632/small/5ceb7377d4396530449b_0_7d0e6527_0d9f_4ea8_81db_bc650de2ff8e_.jpg?1556815329"
"Aqua Air Mineral Botol 600ml","Rp44.550","Rp44.540","Stock Ada","Per 1 kardus isi 24 pcs","https://s0.bukalapak.com/general-trade/img/58292/small/73e1c62cd9c41a734305_data.png?1556816493"
"Aqua Air Mineral Botol 1500ml","Rp. 0","Rp48.150","Stock Ada","Per 1 kardus isi 12 pcs","https://s1.bukalapak.com/general-trade/img/19292/small/6c06de179fb48feb688e_data.png?1556816493"
"Le Minerale Air Mineral Botol 600ml","Rp. 0","Rp47.990","Stock Ada","Per 1 kardus isi 24 pcs","https://s3.bukalapak.com/general-trade/img/89672/small/f20fa926f73f951db19d_data.png?1556816187"
"Ekonomi Sabun Krim Putih 44g","Rp2.825","Rp2.480","Stock Ada","Per 1 renceng isi 6 pcs","https://s3.bukalapak.com/general-trade/img/82022/small/Sabun_Cream_EKONOMI.jpg?1556814453"
"Sunlight Lime Sachet 2x8ml","Rp. 0","Rp2.320","Stock Ada","Per 1 renceng isi 6 pcs","https://s2.bukalapak.com/general-trade/img/25903/small/84cff25d13de8ad3b336_data.png?1558711535"
"Ekonomi Sabun Krim Lemon 93g","Rp. 0","Rp4.130","Stock Ada","Per 5 pcs","https://s0.bukalapak.com/general-trade/img/52952/small/82c14722976eaae64da1_data.png?1556815836"
"Ekonomi Sabun Krim Putih 93g","Rp8.600","Rp8.250","Stock Ada","Per 10 pcs","https://s4.bukalapak.com/general-trade/img/91952/small/e24d748f58c3babd0d75_data.png?1556815835"
"Ekonomi Sabun Krim 93g","Rp8.600","Rp8.250","Stock Ada","Per 10 pcs","https://s2.bukalapak.com/general-trade/img/21842/small/f59bf971650d09925af7_1117890.png?1556815580"
"Ekonomi Sabun Krim 44g","Rp2.825","Rp2.480","Stock Ada","Per 1 renceng isi 6 pcs","https://s2.bukalapak.com/general-trade/img/73952/small/ba323afcbccfec6341f7_data.png?1556815838"
"Sunlight Lime 780ml","Rp14.000","Rp13.510","Stock Ada","Per 1 pcs","https://s4.bukalapak.com/general-trade/img/44462/small/7177d22eb0b9e48193ea_SUNLIGHT_LIME_NEW_REF_800ML.jpg?1556815932"
"Mama Lemon Pouch 55ml","Rp5.150","Rp4.800","Stock Ada","Per 6 pcs","https://s3.bukalapak.com/general-trade/img/86072/small/8d168d97d4bc25c6e6ba_data.png?1556816067"
"Sunlight Lime 755ml","Rp. 0","Rp13.510","Stock Ada","Per 1 pcs","https://s4.bukalapak.com/general-trade/img/94213/small/5d5a208a9a143f8226ee_10005482_1.jpg?1560746896"
"Vica Air Mineral 600ml","Rp. 0","Rp31.580","Stock Habis","Per 1 Kardus isi 24 pcs","https://s1.bukalapak.com/general-trade/img/18312/small/cbcfc21e5a779c81494c_58462271_10213781639997385_140227179668.jpg?1556164122"
"Flow Air Mineral Botol 330ml","Rp26.425","Rp25.790","Stock Habis","Per 1 kardus isi 24 pcs","https://s3.bukalapak.com/general-trade/img/33272/small/5b9e2a4e3cca0ca404c4_8fd19e814e6eaef662863886c3a5794a.jpg?1556816099"
"Amidis Air Mineral 330ml","Rp33.225","Rp33.210","Stock Habis","Per 1 kardus isi 24 pcs","https://s2.bukalapak.com/general-trade/img/77363/small/fb6cb98a5ac1d1dd2e57_data.png?1564627119"
"Vit Air Mineral Botol 600ml","Rp32.275","Rp32.270","Stock Habis","Per 1 kardus isi 24 pcs","https://s0.bukalapak.com/general-trade/img/03892/small/fd9b5cbe6ab17cb50d7a_data.png?1557122677"
"Amidis Air Mineral Botol 600ml","Rp. 0","Rp44.090","Stock Habis","Per 1 kardus isi 24 pcs","https://s1.bukalapak.com/general-trade/img/65942/small/59b682d8be72f6ab8a7d_Amidis_600ml.jpg?1556815610"
"VIT Air Mineral 1500ml","Rp31.300","Rp31.290","Stock Habis","Per 1 kardus isi 12 pcs","https://s4.bukalapak.com/general-trade/img/42892/small/8b3af2cb483bccee5630_data.png?1557122625"
"VIT Air Mineral 330ml","Rp28.975","Rp28.970","Stock Habis","Per 1 kardus isi 24 pcs","https://s0.bukalapak.com/general-trade/img/54892/small/03db2c464de90f7fcf2b_data.png?1557122903"
"Club Air Mineral Botol 600ml","Rp. 0","Rp34.440","Stock Habis","Per 1 kardus isi 24 pcs","https://s0.bukalapak.com/general-trade/img/54632/small/246ef582aa9c0e0dd390_20008767_1.jpg?1556815329"
"Flow Air Mineral Botol 1500ml","Rp29.625","Rp29.260","Stock Habis","Per 1 kardus isi 12 pcs","https://s4.bukalapak.com/general-trade/img/93272/small/e0e6be68e82bf7e56e32_c73b393829600e74d04d7afb692cd934.jpg?1556816100"
"Nestle Pure Life Air Mineral Botol 600ml","Rp42.775","Rp42.760","Stock Habis","Per 1 kardus isi 24 pcs","https://s3.bukalapak.com/general-trade/img/88442/small/fd5aaa4399f595b9eb69_39883147_10212311589567043_841379495953.jpg?1556815510"
"Nestle Pure Life Air Mineral Btl 1500ml","Rp. 0","Rp44.050","Stock Habis","Per 1 kardus isi 12 pcs","https://s4.bukalapak.com/general-trade/img/49442/small/6f98c2fac8bd320bb77e_39762470_10212311589807049_115443785569.jpg?1556815511"
"Aqua Air Mineral Botol 330ml","Rp34.640","Rp32.650","Stock Habis","Per 1 kardus isi 24 pcs","https://s2.bukalapak.com/general-trade/img/79292/small/baa56a30322e58788ce4_data.png?1556816495"
"Air Mancur Minyak Telon 60ml","Rp11.240","Rp9.250","Stock Habis","Per 1 pcs","https://s4.bukalapak.com/general-trade/img/44792/small/07e792bf2b82935ce0fe_56255419_10213675034452313_280820196490.jpg?1556816576"
"RON88 Air Mineral Botol 600ml","Rp37.960","Rp35.875","Stock Habis","Per 1 kardus isi 24 pcs","https://s0.bukalapak.com/general-trade/img/52652/small/ee86ffb8dc0efbb32794_44522757_10212688341305601_164266197523.jpg?1556815763"
"RON88 Air Mineral Gelas 240ml","Rp21.580","Rp20.325","Stock Habis","Per 1 kardus isi 48 pcs","https://s2.bukalapak.com/general-trade/img/22652/small/80856682d5c42b1d9f3e_44753655_10212688341065595_618975865196.jpg?1556815763"
"Vit Air Mineral Gelas 220ml","Rp20.275","Rp20.270","Stock Habis","Per 1 kardus isi 48 pcs","https://s4.bukalapak.com/general-trade/img/93892/small/92b0b24220ef29788b83_data.png?1557122857"
"Club Air Mineral Botol 330ml","Rp. 0","Rp32.070","Stock Habis","Per 1 kardus isi 24 pcs","https://s1.bukalapak.com/general-trade/img/15632/small/1667f099c1d43d2c0484_1226320.png?1556815330"
"Flow Air Mineral Botol 600ml","Rp29.625","Rp28.950","Stock Habis","Per 1 kardus isi 24 pcs","https://s1.bukalapak.com/general-trade/img/63272/small/7dab0d5ee230a6cdede8_5b192576e2845ce552fac38bab0138ac.jpg?1556816100"
"Amidis Air Mineral Botol 1500ml","Rp. 0","Rp44.640","Stock Habis","Per 1 kardus isi 12 pcs","https://s4.bukalapak.com/general-trade/img/95942/small/9a3801bcd6519e4b652d_Amidis_1500ml.jpg?1556815610"
"Nestle Pure Life Air Mineral Botol 330ml","Rp. 0","Rp34.050","Stock Habis","Per 1 kardus isi 24 pcs","https://s0.bukalapak.com/general-trade/img/02363/small/860a21ae6b950d6f7afe_data.png?1564626358"
"Marjan Sirup Melon 460ml","Rp19.550","Rp18.980","Stock Habis","Per 1 pcs","https://s0.bukalapak.com/general-trade/img/56522/small/1514594958_1463021351.jpg?1556814886"
"Ekonomi Sabun Krim Putih 193g","Rp2.125","Rp1.760","Stock Habis","Per 1 pcs","https://s4.bukalapak.com/ast/sentinel/images/grosir/broken-image@2x-min.png"
"Wings Sabun Krim Biru 93g","Rp8.600","Rp8.250","Stock Habis","Per 1 renceng isi 10 pcs","https://s1.bukalapak.com/general-trade/img/13022/small/Sabun_colek_Krim_Wing_Biru_wings_Biru_Wb_500_K_.png?1556814454"
